d,valence,eltype,solve_tol,target,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
20,3,Float32,1e-06,1e-08,universal,SylverLining/LU,LUSolver,13.7322,0.0003,13.7325,19824032,12,1.700e-05,false,4.710e-01,0.7781,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,SylverLining/Gram,GramSolver,2.7924,0.0003,2.7927,22428544,6,1.204e-05,false,4.892e-01,0.7607,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,SylverLining/Arpack,ArpackSolver,2.1645,0.0003,2.1648,14413808,13,1.671e-05,false,5.597e-01,0.6867,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,SylverLining/Lanczos,LanczosSolver,0.1923,0.0000,0.1923,36533136,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float32,1e-06,1e-08,universal,SylverLining/LSMR,LSMRSolver,18.6386,0.0000,18.6386,285283008,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float32,1e-06,1e-08,universal,SylverLining/ShiftInvert,ShiftInvertSolver,1.2400,0.0000,1.2400,103550048,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float32,1e-06,1e-08,universal,Auto,none,7.6017,0.0003,7.6020,17518224,13,3.300e-07,false,4.028e-01,0.8377,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,QuickDer/Auto,AutoSolver,10.5935,0.0003,10.5938,17516272,13,1.763e-07,false,4.216e-02,0.9982,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,QuickDer/Arpack,ArpackSolver,5.3142,0.0003,5.3145,17516272,13,2.943e-07,false,4.583e-01,0.7900,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,QuickDer/Gram,GramSolver,9.9523,0.0003,9.9526,17516272,13,4.715e-07,false,6.537e-01,0.5726,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,QuickDer3,none,0.0000,0.0000,0.0000,0,0,NaN,false,NaN,NaN,false,20 20 20,210,error: FastDer3Valent did not find a correct solution triple at (a';b';c') = (9;9;9). Retry with larger sizes via triple_restriction_size_override.
